num-flashcard,english-word,irregular-english-word,definition,example-sentence,translate-example-sentence
1,have,,1. (v.) Tener. ; 2. (v.) Haber.,I have two dogs and a cat.,Tengo dos perros y un gato.
2,food,,"1. (sus.) Comida, alimento",What is your favorite food?,¿Cuál es tu comida favorita?
3,buy,bought,"1. (v.) Comprar. ; 2. (v.) Creer, aceptar.",Johnathan needs to buy new pants.,Johnathan necesita comprar pantalones nuevos.
4,store,,"1. (sus.) Tienda, establecimiento comercial. ; 2. (v.) Reservar, conservar.",My boyfriend is buying food at the store.,Mi novio está comprando comida en la tienda.
5,get,,"1. (v.) Obtener, conseguir, adquirir. ; 2. (v.) Recibir.",Michael is getting food from the store.,Michael está consiguiendo comida de la tienda.
6,know,,"1. (v.) Conocer, saber. ; 2. (v.) Comprender.",Do you know where the restaurant is?,¿Sabes dónde está el restaurante?
7,where,,1. (pron.) Donde. ; 2. (adv.) Dónde.,"Excuse me, do you know where the bus stop is?","Disculpe, ¿sabe dónde está la parada de autobús?"
8,well,,1. (adv.) Bien.,I'm doing well! Thanks for asking.,¡Estoy bien! Gracias por preguntar.
9,go,went,"1. (v.) Ir, irse.",Where are you going?,¿Adónde vas?
10,all,,"1. (adj.) Todo. ; 2. (adv.) Completamente, totalmente.",All of my family is from Canada.,Toda mi familia es de Canadá.
11,good,,"1. (adj.) Bueno, buen.",Wow! You're really good at sports.,¡Guau! Eres muy bueno en los deportes.
12,think,thought,1. (v.) Pensar. ; 2. (v.) Creer.,I thought you were good at math.,Pensé que eras bueno en matemáticas.
13,take,took,"1. (v.) Tomar, llevar.; 2. (v.) Aguantar.","Take this to my brother, please.","Llévale esto a mi hermano, por favor."
14,glass,,"1. (sus.) Vidrio, cristal  ; 2. (sus.) Vaso",Would you like a glass of orange juice?,¿Te gustaría un vaso de jugo de naranja?
15,pocket,,"1. (sus.) Bolsillo.  ; 2. (v.) Embolsar, meter en el bolsillo.",Gianna took his glasses off and put them in his pocket.,Gianna se quitó las gafas y se las guardó en el bolsillo.
16,about,,"1. (prep.) Acerca de, sobre. ; 2. (prep.) Con respecto a.",This book is about World War II.,Este libro trata sobre la Segunda Guerra Mundial.
17,tell,told,1. (v.) Contar.  ; 2. (v.) Decir.,He told me he really liked working with her.,Me dijo que realmente le gustaba trabajar con ella.
18,whole,,"1. (adj.) Entero, íntegro, completo.   ; 2. (sus.) Todo.",Isabella was nice the whole time.,Isabella fue agradable todo el tiempo.
19,life,,1. (sus.) Vida.,He's lived in Chicago his whole life.,Ha vivido en Chicago toda su vida.
20,today,,1. (adv.) Hoy.,What are you doing today?,¿Qué harás hoy?
21,want,,"1. (v.) Querer, desear.",I want to live in a big house someday.,Quiero vivir en una casa grande algún día.
22,everyone,,"1. (pron.) Todos, todo el mundo.",Everyone in this restaurant is an adult.,Todos en este restaurante son adultos.
23,leave,left,"1. (v.) Salir, irse, marcharse. ; 2. (v.) Dejar.","Okay everyone, it's time to leave.","Bien todos, es hora de irse."
24,some,,"1. (pron.) Algunos, algo, unos. ; 2. (adj.) Extraordinario.",Would you like some food?,¿Te gustaria algo de comida?
25,can,,"1. (v.) Poder, saber hacer algo.",Can you speak English?,¿Puedes hablar inglés?
26,see,saw,1. (v.) Ver. ; 2. (v.) Entender.,I can't see very well.,No puedo ver muy bien.
27,up,,"1. (adj.) Arriba. ; 2. (adj.) Despierto, levantado.","If you look up, you can see the stars.","Si miras hacia arriba, puedes ver las estrellas."
28,say,said,1. (v.) Decir.,Can you please say that again?,¿Puedes decir eso de nuevo?
29,how,,1. (adv.) Cómo.,"How do you say ""cheese"" in Spanish?","¿Cómo se dice ""queso"" en español?"
30,change,,"1. (sus.) Cambio, modificación. ; 2. (v.) Cambiar, alterar, transformar.",Some animals can change colors.,Algunos animales pueden cambiar de color.
31,mind,,"1. (v.) Considerar, importar. ; 2. (sus.) Mente.",Do you mind eating in the kitchen?,¿Te importa comer en la cocina?
32,late,,1. (adv.) Tarde.,It's too late to change your mind.,Es demasiado tarde para cambiar de opinión.
33,now,,"1. (adv.) Ahora, actualmente. ; 2. (adv.) Ahora mismo, inmediatamente.","If we don't leave now, we will be late!","¡Si no nos vamos ahora, llegaremos tarde!"
34,dinner,,"1. (sus.) Comida, cena.","Megan is coming for dinner, isn't she?","Megan vendrá a cenar, ¿verdad?"
35,make,made,"1. (v.) Hacer. ; 2. (v.) Producir, construir.",My son is making us dinner.,Mi hijo nos está haciendo la cena.
36,let,,"1. (v.) Dejar, permitir.",I'll let you decide what we eat for dinner.,Te dejaré decidir lo que comemos para la cena.
37,who,,1. (pron.) Quién.,Who said they could come to the party tonight?,¿Quién dijo que podían venir a la fiesta esta noche?
38,carry,,"1. (v.) Llevar, transportar.",The mother is carrying her child in her arms.,La madre lleva a su hijo en brazos.
39,box,,1. (sus.) Caja.,Nathaniel needed help carrying the box.,Nathaniel necesitaba ayuda para cargar la caja.
40,inside,,1. (prep.) Dentro de. ; 2. (adj.) Interior.,What's inside the box?,¿Qué hay dentro de la caja?
41,key,,"1. (sus.) Llave, clave.",Where are your car keys?,¿Dónde están las llaves de tu coche?
42,winter,,1. (sus.) Invierno.,We are going to Italy and Slovenia this winter.,Vamos a Italia y Eslovenia este invierno.
43,every,,"1. (adj.) Cada. ; 2. (adj.) Todo, todos, todas.","Every winter, I go to Canada.","Cada invierno, voy a Canadá."
44,read,,1. (v.) Leer.,She reads the newspaper every morning.,Ella lee el periódico todas las mañanas.
45,write,wrote,1. (v.) Escribir.,"I like to read, but I don't like to write.","Me gusta leer, pero no me gusta escribir."
46,wrong,,"1. (adj.) Equivocado, erróneo, incorrecto. ; 2. (adj.) Falso.",I wrote down the wrong word!,¡Escribí la palabra equivocada!
47,slow,,1. (adj.) Lento,There's nothing wrong with reading slowly and taking your time.,No hay nada de malo en leer lentamente y tomarte tu tiempo.
48,already,,1. (adv.) Ya.,Emma has already seen that movie.,Emma ya ha visto esa película.
49,hungry,,"1. (adj.) Famélico, hambriento, tener hambre.","I know we just ate, but I'm already hungry again.","Sé que acabamos de comer, pero ya tengo hambre otra vez."
50,more,,1. (adv.) Más. ; 2. (adj.) Mayor.,"I'm still hungry, can I have more?","Todavía tengo hambre, ¿puedo tener más?"
51,speak,,1. (v.) Hablar.,Could you please speak more slowly?,"¿Podría hablar más despacio, por favor?"
52,guy,,"1. (sus.) Tipo, hombre.",What did that guy just say to you?,¿Qué te acaba de decir ese tipo?
53,thing,,"1. (sus.) Cosa. ; 2. (sus.) Ser, criatura.",What is that thing?,¿Qué es esa cosa?
54,should,,"1. (v.) Habría, debería.",You should excercise everyday.,Debes hacer ejercicio todos los días.
55,often,,"1. (adv. de tiempo) A menudo, normalmente.  ; 2. (adv. de tiempo) En muchas ocasiones.",How often do you go to the movies?,¿Que tan a menudo vas al cine?
56,call,,1. (v.) Llamar.,You should call your mom more often.,Deberías llamar a tu mamá más a menudo.
57,lose,,1. (v.) Perder.,I think I lost my phone. Can you call me?,Creo que perdí mi teléfono. ¿Puedes llamarme?
58,fine,,1. (adj.) Bien.  ; 2. (adj.) Fino.,I thought the food was fine.,Pensé que la comida estuvo bien.
59,clothes,,"1. (sus.) Ropa, ropaje.",Lee was dressed in his finest clothes.,Lee estaba vestido con sus mejores ropas.
60,drive,drove,"1. (v.) Conducir, manejar (un vehículo)  ; 2. (sus.) Viaje, paseo en vehículo",Evelyn asked to be driven home.,Evelyn pidió ser conducida a casa.
61,expensive,,"1. (adj.) Costoso, caro",Becky drives a very expensive car.,Becky conduce un coche muy caro.
62,wear,,"1. (v.) Vestir, llevar o portar en el cuerpo. ; 2. (sus.) Desgaste, fatiga.",Levi loves to wear expensive clothes.,A Levi le encanta vestir ropa cara.
63,ring,rung,"1. (sus.) Anillo, círculo. ; 2. (v.) Sonar, doblar.",He always wears rings.,Él siempre lleva anillos.
64,give,,1. (v.) Dar. ; 2. (v.) Entregar.,My husband gave me a ring on my birthday.,Mi marido me dio un anillo en mi cumpleaños.
65,when,,1. (adv.) Cuando.,When are you coming home?,¿Cuándo vendrás a casa?
66,wait,,1. (v.) Esperar.,They are waiting for the bus.,Están esperando el autobús.
67,way,,"1. (sus.) Camino, vía, calle, avenida. ; 2. (sus.) Manera, modo, forma, aspecto.",We'll stop for food on the way home.,Nos detendremos para comer de camino a casa.
68,last,,"1. (adj.) Último, pasado.; 2. (v.) Durar.",I was fired from my job last year.,Me despidieron de mi trabajo el año pasado.
69,year,,1. (sus.) Año.,I bought this computer last year.,Compré esta computadora el año pasado.
70,remember,,1. (v.) Recordar. ; 2. (v.) Acordarse de.,Do you remember what he said to us?,¿Recuerdas lo que nos dijo?
71,happen,,"1. (v.) Suceder, ocurrir, pasar.",I can't remember what happened last night.,No puedo recordar lo que pasó anoche
72,try,,"1. (v.) Probar, intentar.  ; 2. (sus.) Tentativa",I try not to eat at restaurants too often.,Intento no comer en restaurantes muy seguido.
73,save,,"1. (v.) Ahorrar, guardar. ; 2. (v.) Salvar.",Kailey is saving money to buy a car.,Kailey está ahorrando dinero para comprar un automóvil.
74,cook,,1. (v.) Cocinar.,I cook at home because it saves money.,Cocino en casa porque ahorra dinero.
75,learn,,"1. (v.) Aprender, saber.",Thomas is learning math at school.,Thomas está aprendiendo matemáticas en la escuela.
76,maybe,,"1. (adv.) Quizá, tal vez. ; 2. (adj.) Posible, incierto.",Maybe I'll learn to cook this year.,Quizás aprenda a cocinar este año.
77,anything,,1. (pron.) Algo. ; 2. (pron.) Cualquier cosa.,Is there anything I can do to help?,¿Hay algo que pueda hacer para ayudar?
78,sure,,"1. (adj.) Seguro, convencido. ; 2. (interj.) Por supuesto.",Are you sure it will be open?,¿Estás seguro de que estará abierto?
79,sorry,,"1. (adj.) Arrepentido. ; 2. (interj.) ¡Lo lamento!, ¡lo siento!, disculpe.",I'm sorry about what I said to you.,Lo siento por lo que te dije.
80,great,,"1. (adj.) Grande ; 2. (adj.) Grandioso, extraordinario",Your grandma is a great cook!,¡Tu abuela es una gran cocinera!
81,avoid,,1. (v.) Evitar.,I try to avoid talking about politics.,Intento evitar hablar de la política.
82,rain,,1. (sus.) Lluvia.  ; 2. (v.) Llover.,We always get a lot of rain this time of year.,Siempre llueve mucho en esta época del año.
83,wet,,"1. (adj.) Húmedo, mojado.",Arya tried not to get wet in the rain.,Arya trató de no mojarse bajo la lluvia.
84,jump,,1. (sus.) Salto.  ; 2. (v.) Saltar.,Jane jumped over the puddle to avoid getting wet.,Jane saltó sobre el charco para evitar mojarse.
85,shirt,,1. (sus.) Camisa.,Keith took off his shirt and jumped in the river.,Keith se quitó la camisa y saltó al río.
86,which,,"1. (pron.) Cuál. ; 2. (pron.) Que, el que.","Which shirt do you prefer, the red one or the blue one?","¿Qué camiseta prefieres, la roja o la azul?"
87,sing,"sang, sung",1. (v.) Cantar,Why did you choose to sing that song?,¿Por qué elegiste cantar esa canción?
88,loud,,"1. (adj.) Ruidoso, hablar o cantar fuerte.",Chloe sang the song as loud as she could.,Chloe cantó la canción tan fuerte como pudo.
89,hear,,"1. (v.) Oír, escuchar.",Can you please speak louder? I can't hear you.,"¿Puedes hablar más alto, por favor? No puedo oírte."
90,many,,"1. (pron.) Muchos, muchas. ; 2. (sus.) Mayoría, una gran cantidad.",How many books have you read?,¿Cuántos libros has leído?
91,swim,,1. (v.) Nadar.,"You haven't been swimming in a long time, have you?","No has estado nadando en mucho tiempo, ¿verdad?"
92,cold,,1. (adj.) Frío.,The water was too cold to swim.,El agua estaba demasiado fría para nadar.
93,complain,,1. (v.) Quejarse.,David was complaining about how cold it's been.,David se quejaba del frío que hacía.
94,noise,,1. (sus.) Ruido.,Many people have been complaining about the noise.,Mucha gente se ha quejado del ruido.
95,wake up,,1. (v.) Despertarse,I heard a noise and it woke me up.,Escuché un ruido y me despertó.
96,back,,"1. (adv.) De vuelta.  ; 2. (sus.) Espalda, parte trasera.",Liam ran back inside to get his keys.,Liam corrió de vuelta adentro para buscar sus llaves.
97,run,,1. (v.) Correr.   ; 2. (v.) Dirigir.,I run every morning to wake myself up.,Corro cada mañana para despertarme.
98,yesterday,,1. (adv.) Ayer.,Lamont got back from Australia yesterday.,Lamont regresó ayer de Australia.
99,table,,1. (sus.) Mesa.  ; 2. (sus.) Lista o tabla de datos.,Put that plate on the table then come back for this one.,Pon ese plato en la mesa y luego vuelve por este.
100,wallet,,"1. (sus.) Billetera, cartera.",Derek put his wallet on the table.,Derek puso su billetera sobre la mesa.
101,out,,"1. (adv.) Fuera, afuera.",He took his wallet out of his pocket.,Sacó su billetera fuera de su bolsillo.
102,find,found,1. (v.) Encontrar.,I can't find my keys!,¡No puedo encontrar mis llaves!
103,able,,1. (adj.) Capaz.,I might be able to help her.,Puede que sea capaz de ayudarla.
104,believe,,1. (v.) Creer.,"If you believe you can do it, you will be able to.","Si crees que puedes hacerlo, podrás hacerlo."
105,date,,1. (sus.) Fecha. ; 2. (sus.) Cita.,What is the date today?,¿Cuál es la fecha de hoy?
106,each,,"1. (adj.) Cada. ; 2. (pron.) Cada uno, cada una.",Each person is unique.,Cada persona es única.
107,meet,,"1. (v.) Conocer, presentar. ; 2. (v.) Encontrar, encontrase con.",They met each other using a dating app.,Se conocieron a través de una aplicación de citas.
108,kind,,"1. (adj.) Amable, amigable. ; 2. (sus.) Clase, tipo.",Her grandfather was a very kind man.,Su abuelo era un hombre muy amable.
109,choice,,"1. (sus.) Elección, selección. ; 2. (sus.) Opción.","Jeremy didn't have a choice, he had to finish the job.","Jeremy no tenía opción, tenía que terminar el trabajo."
110,season,,"1. (sus.) Estación, temporada. ; 2. (v.) Condimentar, sazonar.",Summer is my favorite season.,El verano es mi estación favorita.
111,spring,,"1. (sus.) Primavera.  ; 2. (sus.) Muelle, resorte.",Spring is my favorite season.,La primavera es mi estación favorita.
112,after,,"1. (adv.) Después, después de. ; 2. (adv.) Detrás, detrás de.",Summer comes after spring.,El verano llega después de la primavera.
113,only,,"1. (adv.) Sólo, solamente, únicamente. ; 2. (adj.) Único.",I only have one dollar left...,Sólo me queda un dólar...
